date,GNP,GNP82,GC,GPI,GIF,GPOP,M2,POP,LHUR,BCTURNPT,HALL,PRESCOTT,YPOTDEN,DENISON
1972:04,1263.5,2671.300049,789.2000122,214.8999939,204.1000061,210.7369995,797.0999959,210652,5.366666635,0,,,,
1973:01,1311.599976,2734,813.2000122,228,213.1999969,211.1920013,816.7333374,211119.6667,4.933333397,0,5.8,0.208696389,1057.8,-5.299721026
1973:02,1342.900024,2741,827.9000244,237.8000031,218.5,211.6629944,830.4999797,211581,4.933333397,0,,,,
1973:03,1369.400024,2738.300049,846.2000122,237.1999969,222.1000061,212.1909943,843.1333211,212096.6667,4.800000191,0,,,,
1973:04,1413.300049,2762.800049,861.5999756,252.3000031,223.1000061,212.7079926,854.6333415,212631.3333,4.76666673,0.333333333,,,,
1974:01,1426.199951,2747.399902,880,238.1000061,222,213.1439972,870.7999878,213072.3333,5.133333206,0,-4.2,-2.98676116,1087.8,-5.280952678
1974:02,1459.099976,2755.199951,907.7999878,241.3000031,225.3000031,213.602005,881.8333333,213520,5.199999968,0,,,,
1974:03,1489.099976,2719.300049,935.2999878,238.8999939,229.6000061,214.1470032,891.4999797,214047.3333,5.633333365,0,,,,
1974:04,1516.800049,2695.399902,943,245.1000061,224.6999969,214.6999969,904.6666667,214619.3333,6.599999905,0,,,,
1975:01,1524.599976,2642.699951,967.4000244,204.8999939,217.3999939,215.1349945,921.2666626,215064.6667,8.266667048,-0.333333333,0.2,2.197697082,1081.5,-5.29642314
1975:02,1563.5,2669.600098,996.5999756,204.6000061,219.6999969,215.6519928,955.0666911,215548,8.866666794,0,,,,
1975:03,1627.400024,2714.899902,1029.599976,229.5,227.6999969,216.2890015,989.7666829,216187,8.46666654,0,,,,
1975:04,1678.199951,2752.699951,1057.5,239.3000031,235.8999939,216.8480072,1014.166646,216763,8.299999873,0,,,,
1976:01,1730.900024,2804.399902,1091.800049,264.6000061,247.8000031,217.3139954,1046.200033,217241.6667,7.73333327,0,5.1,0.14407544,1123.8,-5.267775823
1976:02,1761.800049,2816.899902,1111.199951,275.7999878,256.2000122,217.776001,1078.866699,217691.3333,7.566666603,0,,,,
1976:03,1794.699951,2828.600098,1139.800049,279.6000061,262.2000122,218.3379974,1108.300008,218236,7.733333429,0,,,,
1976:04,1843.699951,2856.800049,1174.599976,290.6000061,280.5,218.9170074,1149.300008,218828,7.76666673,0,,,,
1977:01,1899.099976,2896,1211.800049,311.5,296.3999939,219.427002,1188.233358,219342.3333,7.5,0,2.7,1.948628551,1170.2,-5.237330139
1977:02,1968.900024,2942.699951,1239.199951,341.3999939,319.7000122,219.9559937,1221.06665,219863,7.133333206,0,,,,
1977:03,2031.599976,3001.800049,1270.199951,363.7000122,331,220.572998,1250.266642,220461.6667,6.900000095,0,,,,
1977:04,2062.399902,2994.100098,1307.599976,359.6000061,344.1000061,221.201004,1278,221105.3333,6.666666826,0,,,,
1978:01,2111.399902,3020.5,1332.599976,379.7000122,353.5,221.7189941,1301.966634,221632.6667,6.333333492,0,1,1.011801168,1218.1,-5.207762916
1978:02,2230.300049,3115.899902,1391.099976,420.2000122,385.7999878,222.2810059,1325.366699,222182,6,0,,,,
1978:03,2289.5,3142.600098,1424.599976,424.7000122,400.2000122,222.9329987,1351.200033,222817,6.033333302,0,,,,
1978:04,2367.600098,3181.600098,1465.699951,442.7000122,413.2999878,223.5829926,1379.833333,223482.3333,5.900000095,0,,,,
1979:01,2420.5,3181.699951,1501.800049,446.8999939,425,224.1519928,1402.966675,224060,5.866666794,0,,-0.810214273,1263.7,-5.182052773
1979:02,2474.5,3178.699951,1537.599976,463.2000122,435,224.7369995,1435.766683,224632.6667,5.699999968,0,,,,
1979:03,2546.100098,3207.399902,1590,461.5,451.7999878,225.4179993,1470.600016,225297.6667,5.866666635,0,,,,
1979:04,2591.5,3201.300049,1637.5,447.7999878,455.6000061,226.1170044,1491.56665,226006.3333,5.966666698,0,,,,
1980:01,2673,3233.399902,1682.199951,461,460.6000061,226.6999969,1518.06665,226630.3333,6.300000191,0.333333333,,-1.215367884,1296,-5.168506996
1980:02,2672.199951,3157,1688.900024,425,424.6000061,227.3999939,1535.399984,227289.3333,7.333333333,0,,,,
1980:03,2734,3159.100098,1749.300049,405.3999939,435,228.1000061,1588.300008,227993,7.666666667,-0.333333333,,,,
1980:04,2848.600098,3199.199951,1810,456.3999939,461,228.8000031,1625.100016,228669.3333,7.399999936,0,,,,
1981:01,2978.800049,3261.100098,1862.900024,506.8999939,478.8999939,229.3000031,1653.5,229188.3333,7.433333397,0,,0.805999607,1319.1,-5.16149079
1981:02,3017.699951,3250.199951,1896.400024,515.2999878,492.5,229.8000031,1697.300008,229731.3333,7.399999936,0,,,,
1981:03,3099.600098,3264.600098,1940.900024,535.9000244,500.2000122,230.5,1731.933309,230375,7.399999936,0.333333333,,,,
1981:04,3114.399902,3219,1960.199951,504,494.2999878,231.1000061,1775.800049,231037.6667,8.233333429,0,,,,
1982:01,3112.600098,3170.399902,1996.300049,459.5,483.6000061,231.6999969,1817.933309,231573.6667,8.833333333,0,,-1.508090339,1333.9,-5.160573902
1982:02,3159.5,3179.899902,2023.800049,467.7999878,472.8999939,232.1999969,1850.266683,232117.3333,9.433333397,0,,,,
1982:03,3179.399902,3154.5,2065.600098,452.2000122,461.2000122,232.8999939,1891.899984,232740.3333,9.933333397,0,,,,
1982:04,3212.5,3159.300049,2117,409.6000061,469.5,233.5,1937.999959,233374,10.59999975,-0.333333333,,,,
1983:01,3265.800049,3186.600098,2146.600098,428.2999878,471,234,2037.766642,233897,10.36666648,0,,1.255617182,,
1983:02,3367.399902,3258.300049,2213,481.2999878,492.5,234.5,2093.600016,234415.6667,10.16666667,0,,,,
1983:03,3443.899902,3306.399902,2262.800049,519.7000122,525.2000122,235.1000061,2130.766602,235009.6667,9.366666476,0,,,,
1983:04,3545.800049,3365.100098,2315.800049,579.7999878,548.7999878,235.6999969,2175.100016,235619.3333,8.5,0,,,,
1984:01,3670.899902,3444.699951,2363.800049,659.5,564,236.1999969,2214.233317,236137,7.866666794,0,,,,
1984:02,3743.800049,3487.100098,2416.100098,657.5,597.5999756,236.6999969,2255.866699,236650.6667,7.5,0,,,,
1984:03,3799.699951,3507.399902,2445.600098,670.2999878,605.7999878,237.3000031,2293.033366,237238.3333,7.433333397,0,,,,
1984:04,3845.600098,3520.399902,2487.199951,661.0999756,624.4000244,238,2348.566732,237860.6667,7.23333327,0,,,,
1985:01,3909.300049,3547,2530.899902,650.5999756,625.2000122,238.5,2417.033285,238388,7.333333492,0,,,,
1985:02,3965,3567.600098,2576,667.0999756,648,239,2455.133301,238889.3333,7.300000191,0,,,,
1985:03,4030.5,3603.800049,2627.100098,657.4000244,654.2999878,239.6000061,2513.899984,239497,7.166666667,0,,,,
1985:04,4087.699951,3622.300049,2667.899902,669.5,672.5999756,240.1999969,2552.266602,240117,7,0,,,,
